age,income,loan_amount,loan_term,interest_rate,credit_score,employment_years,num_prev_loans,missed_payments,debt_to_income,loan_purpose,default
59,26903,11233,12,6.16,742,27,1,2,0.4175,home_improvement,1
49,29295,12481,36,5.21,463,3,7,3,0.426,home_improvement,1
35,44698,6429,24,20.27,660,27,4,3,0.1438,education,0
63,31221,11265,12,14.88,418,7,6,2,0.3608,business,1
28,50710,12184,60,10.98,494,8,3,4,0.2403,medical,1
41,36752,11229,36,8.95,540,1,6,2,0.3055,business,1
59,53240,8454,36,15.49,808,24,5,0,0.1588,business,0
39,80410,13729,24,13.65,441,10,0,2,0.1707,medical,1
43,54111,6459,48,21.86,330,27,6,2,0.1194,home_improvement,1
31,49546,5046,60,21.71,522,19,2,3,0.1018,education,1
31,61988,16257,48,15.8,565,21,2,4,0.2623,personal,1
44,42464,15706,36,12.53,581,29,2,2,0.3699,home_improvement,0
56,70181,4154,48,13.35,680,6,3,1,0.0592,education,0
60,63913,1022,12,16.6,361,3,4,3,0.016,home_improvement,1
44,55699,5947,60,6.73,820,23,0,3,0.1068,medical,0
23,57777,11230,48,10.58,370,28,2,2,0.1944,business,1
42,91751,18926,12,6.28,835,13,4,1,0.2063,medical,0
22,71961,11083,24,6.25,439,25,6,2,0.154,personal,1
44,94591,7383,48,8.33,615,23,1,1,0.0781,medical,0
64,64576,12891,60,13.25,639,0,5,3,0.1996,business,0
50,28509,11315,12,18.34,827,23,1,1,0.3969,home_improvement,0
58,50280,3713,48,13.25,840,25,0,2,0.0738,education,0
22,24396,3749,24,10.7,715,29,2,0,0.1537,personal,0
41,64509,3910,48,6.4,766,11,7,0,0.0606,home_improvement,0
53,68417,26879,12,14.36,674,18,7,1,0.3929,education,0
32,39053,17159,48,9.61,590,4,1,2,0.4394,business,0
42,43198,8437,60,15.45,342,29,5,4,0.1953,medical,1
64,57677,18649,36,21.61,352,25,4,0,0.3233,home_improvement,1
45,33434,8591,12,6.89,531,7,7,3,0.257,education,1
47,32083,18451,12,8.61,511,10,4,2,0.5751,education,1
62,77295,12481,12,13.04,307,21,1,2,0.1615,medical,1
48,57064,8046,12,21.47,782,3,6,0,0.141,home_improvement,0
36,44954,16078,48,18.12,341,14,6,4,0.3577,home_improvement,1
35,24541,12825,60,20.27,632,19,2,3,0.5226,business,1
64,70342,14389,24,10.67,532,11,5,4,0.2046,home_improvement,1
23,42678,13293,60,21.86,369,19,0,3,0.3115,medical,1
57,88492,13230,12,6.75,315,21,2,0,0.1495,home_improvement,0
27,70467,16803,48,5.9,368,22,7,2,0.2385,business,1
41,40453,27502,48,19.55,352,28,3,3,0.6799,education,1
29,42121,19492,12,20.76,678,20,1,2,0.4628,home_improvement,1
59,85993,13317,48,6.54,762,9,3,1,0.1549,medical,0
38,53483,10136,12,6.93,826,29,7,1,0.1895,home_improvement,0
24,45760,10795,60,5.56,362,23,1,0,0.2359,personal,0
45,55498,4463,36,6.78,560,15,0,0,0.0804,business,0
34,45677,15987,48,8.56,799,22,2,0,0.35,education,0
29,59338,5910,12,21.49,420,7,5,1,0.0996,personal,1
46,53635,9765,12,16.35,539,19,7,3,0.1821,medical,1
22,70759,16022,48,18.24,764,7,6,4,0.2264,home_improvement,0
40,48005,10576,24,18.19,406,28,6,0,0.2203,business,1
48,39073,9046,12,14.1,479,5,2,4,0.2315,home_improvement,1
27,48718,4815,48,18.56,315,2,1,4,0.0988,home_improvement,1
64,48608,19231,12,15.13,654,28,6,1,0.3956,home_improvement,0
28,53604,7000,24,10.35,608,7,4,3,0.1306,home_improvement,0
55,66421,8484,36,14.54,480,28,3,1,0.1277,business,1
34,65438,1249,24,14.07,473,22,5,0,0.0191,personal,0
37,76593,11880,60,19.0,653,9,5,1,0.1551,medical,0
56,40393,10000,48,21.69,653,4,6,1,0.2476,personal,0
60,61996,13091,24,11.99,518,10,7,1,0.2112,business,1
24,68091,4952,36,17.98,614,3,2,0,0.0727,medical,0
22,42864,16405,12,6.7,733,16,2,0,0.3827,education,0
26,51262,1000,48,18.21,581,25,1,1,0.0195,personal,0
62,23500,11446,24,11.31,558,2,4,1,0.4871,business,1
24,71323,12692,36,5.67,304,17,7,4,0.178,business,1
49,51121,12346,24,11.18,693,7,7,3,0.2415,business,0
38,69518,12946,60,15.38,635,29,7,4,0.1862,medical,0
46,58708,16732,48,7.03,362,23,3,3,0.285,home_improvement,1
64,51667,19948,12,20.71,343,11,4,3,0.3861,education,1
54,26329,11066,36,6.32,452,20,5,1,0.4203,medical,1
30,29530,6192,24,20.81,455,15,4,4,0.2097,medical,1
56,15000,15364,48,17.02,777,13,6,3,1.0243,personal,1
34,44872,10318,24,10.61,574,20,1,3,0.2299,education,1
51,96008,19587,48,11.64,657,15,4,0,0.204,business,0
35,31816,8388,60,17.59,725,26,7,3,0.2636,medical,0
28,15000,6851,24,15.23,831,3,3,1,0.4567,education,0
34,72328,12862,60,16.42,782,0,5,2,0.1778,personal,0
43,97546,1557,36,11.62,513,0,0,0,0.016,home_improvement,1
60,60362,9195,60,13.29,378,28,5,2,0.1523,education,1
41,60197,10020,48,21.83,438,21,7,1,0.1665,business,1
36,49422,13322,36,8.64,397,14,0,2,0.2696,medical,1
38,22703,6022,24,12.1,497,19,3,3,0.2653,home_improvement,1
44,28887,6722,24,9.96,455,19,5,2,0.2327,personal,1
46,49298,18941,48,18.01,349,2,5,4,0.3842,business,1
45,45847,11919,12,17.99,778,13,5,1,0.26,home_improvement,0
61,52926,17187,12,9.97,527,8,5,4,0.3247,personal,1
49,69927,8749,24,6.38,756,18,1,2,0.1251,business,0
35,44526,11673,48,5.19,821,7,2,4,0.2622,medical,0
21,70294,13287,12,12.27,448,1,5,0,0.189,personal,1
45,44644,22485,60,11.98,357,3,1,2,0.5037,home_improvement,1
27,73688,10694,24,21.8,461,0,3,4,0.1451,business,1
29,56554,11002,60,12.99,776,10,5,3,0.1945,education,0
44,47155,18588,48,9.36,406,4,4,2,0.3942,business,1
21,56247,9721,60,20.15,726,1,5,0,0.1728,home_improvement,0
64,49716,13707,12,13.35,694,26,6,3,0.2757,home_improvement,0
28,57036,18065,12,15.19,485,12,5,2,0.3167,education,1
44,68645,8544,36,6.63,745,16,7,3,0.1245,home_improvement,0
31,53430,14042,24,11.51,747,16,0,2,0.2628,business,0
37,48347,22473,48,21.05,386,17,4,2,0.4648,personal,1
28,34776,17527,24,15.02,548,20,5,1,0.504,business,1
55,65425,13709,60,10.86,739,27,5,4,0.2095,home_improvement,0
55,61268,10654,48,15.64,556,8,5,2,0.1739,education,1
53,33725,8374,48,20.48,576,5,1,0,0.2483,education,1
25,70038,6070,12,9.66,737,27,7,4,0.0867,medical,0
62,33432,21057,60,13.59,815,19,3,1,0.6298,education,0
59,73525,19892,12,21.3,501,2,0,4,0.2705,education,1
61,67381,8057,12,7.93,479,7,5,4,0.1196,home_improvement,1
48,62553,14026,36,17.23,624,2,3,2,0.2242,personal,0
27,48214,12667,12,15.45,774,0,7,0,0.2627,personal,0
29,65364,19106,24,16.55,699,19,0,2,0.2923,home_improvement,0
28,74374,14296,48,10.97,516,26,0,0,0.1922,education,0
32,65662,11863,12,10.34,752,12,6,0,0.1807,business,0
54,42935,8749,24,16.63,703,20,7,3,0.2038,personal,0
53,59813,14045,60,8.66,539,4,0,2,0.2348,home_improvement,1
43,75376,9910,48,12.13,485,15,7,1,0.1315,business,1
44,94583,13324,60,8.2,347,20,7,4,0.1409,education,1
57,51306,11544,24,5.14,685,23,5,3,0.225,home_improvement,0
55,70441,9765,60,21.49,507,15,1,1,0.1386,personal,1
64,75420,6163,60,12.34,456,23,5,2,0.0817,business,1
60,40376,15085,60,21.48,524,11,5,0,0.3736,business,1
42,87077,12255,12,7.39,443,12,3,2,0.1407,personal,1
47,35826,22724,12,14.99,718,3,2,2,0.6343,business,0
55,69561,5805,12,8.42,410,8,2,3,0.0835,personal,1
21,60495,15751,48,18.43,764,15,6,1,0.2604,home_improvement,0
55,56000,11504,24,18.32,431,0,7,3,0.2054,medical,1
57,100842,24598,12,6.91,633,4,2,1,0.2439,education,0
34,49577,15293,60,20.51,374,20,3,3,0.3085,home_improvement,1
23,49287,13948,60,8.31,711,4,4,4,0.283,education,0
21,78966,11519,60,15.42,818,23,6,0,0.1459,education,0
25,68712,7781,60,21.76,335,24,3,0,0.1132,personal,1
46,78077,13868,36,20.0,522,18,0,0,0.1776,medical,1
